name	ID	cand12_vs_parental_p.val	cand12_vs_parental_p.adj	cand12_vs_parental_significant	cand12_vs_parental_ratio	cand12_centered
1	ABHD10	Q9NUJ1-2	0.00770270834720136	0.0021	TRUE	2.22	1.57
5	ANKRD54	Q6NXT1	9.58065496255142e-05	8.08e-07	TRUE	1.59	1.39
9	ATAD3A	Q9NVI7-2	0.000110113220009753	1.02e-06	TRUE	2.48	1.21
17	CCT3	P49368-2	0.0194658839088412	0.00904	TRUE	1.96	0.9
22	COPA	P53621	0.0212751252953467	0.0103	TRUE	2.19	1.87
28	DDX3X	O00571	0.0572853222660743	0.041	TRUE	1.77	2.54
36	EEF1A1	P68104	0.00165058499861915	0.000158	TRUE	3.97	1.95
39	EIF4A1	P60842	0.00604925279537127	0.00141	TRUE	1.64	0.938
48	HLA-A	P30455	1.25308566561712e-07	3.39e-14	TRUE	3.54	3.1
58	HSP90AB1	P08238	0.0271656277761109	0.0144	TRUE	2.27	0.731
69	KRT18	P05783	0.034715178582177	0.02	TRUE	2.25	0.486
137	RPLP2	P05387	0.000428914518244099	1.38e-05	TRUE	2.57	3.92
142	RPS17	P08708	0.0286698961521343	0.0155	TRUE	3	4.89
149	RPS5	P46782	1.8926618201641e-11	1.02e-14	TRUE	7.14	6.37
150	RPS9	P46781	0.0354300681699246	0.0205	TRUE	2.81	2.75
152	SEH1L	Q96EE3	0.000999740207041818	6.53e-05	TRUE	1.7	1.41
173	TUBA1B	P68363	0.0116728704782372	0.00412	TRUE	1.79	1.99
175	TUBG1	P23258	0.0164865151889901	0.00702	TRUE	1.88	2.16
177	UBA52	RS27A_HUMAN	2.17882805596845e-09	1.02e-14	TRUE	3.91	-0.52
