name	ID	cand11_without_overlap	cand11_vs_Ctrl_p.val	cand11_vs_Ctrl_p.adj	cand11_vs_Ctrl_significant	cand11_vs_Ctrl_ratio	cand11_centered
91	ALDH1A3	P47895	yes	4.04504284883101e-09	0.000286	TRUE	9.33	5.73
92	APOB	P04114	yes	9.90553905800773e-33	7.52e-15	TRUE	9.66	8.05
93	CAV1	Q03135	yes	3.34962420897434e-09	0.000249	TRUE	8.82	6.6
94	COPA	P53621	yes	1.13378721019569e-06	0.0117	TRUE	2.45	1.89
95	CYB5R3	P00387-2	yes	7.46707700258702e-10	7.82e-05	TRUE	8.06	5.58
96	EPHA2	P29317	yes	6.78628101695572e-41	7.52e-15	TRUE	12.7	10.6
97	FAF2	Q96CS3	yes	1.52850933797514e-12	1.02e-07	TRUE	9.62	6.03
98	FLOT1	O75955	yes	1.36866153639261e-10	1.8e-05	TRUE	7	5.22
99	HSD17B11	Q8NBQ5	yes	3.66821609316216e-26	7.52e-15	TRUE	11.3	7.95
100	IMMT	Q16891-2	yes	9.38759090356833e-09	0.000535	TRUE	6.79	3.62
101	LMNA	P02545	yes	2.07866062908217e-05	0.047	TRUE	2.05	1.4
102	METTL7B	Q6UX53	yes	6.45593177504399e-06	0.0287	TRUE	3.99	2.31
103	MX2	P20592	yes	4.30088276805345e-22	7.52e-15	TRUE	7.82	5.33
104	PHB	P35232	yes	2.13012168377147e-18	7.52e-15	TRUE	19.3	12.8
105	POLH	Q9Y253	yes	1.32995932421465e-08	0.000676	TRUE	9.84	7.37
106	PS01753	PS01753	yes	6.68372351068561e-42	7.52e-15	TRUE	14.9	12.4
107	S100A8	P05109	yes	6.15508015946022e-07	0.00826	TRUE	7.32	4.94
108	SERPINB6	P35237	yes	3.25315286063924e-17	7.52e-15	TRUE	13.3	10.4
109	SLC35E1	Q96K37	yes	2.48760948818216e-09	0.000198	TRUE	7.76	4.21
110	SOAT1	P35610	yes	4.62082198091582e-40	7.52e-15	TRUE	12.5	10.4
111	SPANXC	Q9NY87	yes	2.40644091838612e-16	7.52e-15	TRUE	11	8.99
112	STOM	P27105	yes	3.26145564415549e-32	7.52e-15	TRUE	9.26	6.3
113	STOML2	Q9UJZ1	yes	3.58957847996763e-18	7.52e-15	TRUE	12.2	9.27
114	TMEM43	Q9BTV4	yes	3.02130327293955e-36	7.52e-15	TRUE	12.8	10.6
115	TOMM40	O96008	yes	7.91772706186981e-06	0.0314	TRUE	4.8	2.6
116	TSHZ1	Q6ZSZ6-2	yes	5.16798904343003e-33	7.52e-15	TRUE	10.7	8.95
117	UNC119B	A6NIH7	yes	1.43690353682225e-27	7.52e-15	TRUE	7.78	6.48
118	VDAC1	P21796	yes	5.06329089507077e-06	0.0256	TRUE	5.26	2.86
182	ARF1	P84077	#N/A	1.14928553926669e-05	0.0368	TRUE	7.08	1.8
187	ARL1	P40616-2	#N/A	3.33125471064804e-06	0.0209	TRUE	6.39	2.8
188	ATAD3A	Q9NVI7-2	#N/A	2.7258818305758e-12	2.14e-07	TRUE	14.6	8.87
189	ATAD3B	Q5T9A4	#N/A	2.2511312408919e-10	2.77e-05	TRUE	14.9	8.11
207	CDKN2AIP	Q9NXV6	#N/A	1.22325524723055e-11	1.32e-06	TRUE	10.9	4.58
208	CHCHD3	Q9NX63	#N/A	1.18454748759324e-10	1.58e-05	TRUE	8.16	4.66
217	CSE1L	P55060-3	#N/A	2.29909014752674e-07	0.00471	TRUE	9.23	4.01
233	DPYSL3	Q14195-2	#N/A	1.61805518635743e-05	0.0421	TRUE	5.6	0.973
238	EHD4	Q9H223	#N/A	7.60469570633477e-22	7.52e-15	TRUE	7.8	3.57
265	GCN1L1	Q92616	#N/A	1.11989327718144e-09	0.000105	TRUE	7.92	3.96
295	HSPD1	P10809	#N/A	1.48639100664864e-12	9.8e-08	TRUE	4.74	3.07
309	MAGEA4	P43358	#N/A	7.57454420413593e-06	0.0308	TRUE	5.73	0.588
314	MICAL1	Q8TDZ2	#N/A	1.06182450256948e-10	1.43e-05	TRUE	11.5	5.32
327	NAMPT	P43490	#N/A	2.02976115819959e-05	0.0465	TRUE	7.36	2.82
346	PHB2	Q99623	#N/A	2.09345315899839e-15	1.28e-12	TRUE	15.3	10.9
354	PRDX1	PRDX1_HUMAN	#N/A	2.16186132867565e-08	0.000941	TRUE	9.39	0.665
355	PRKDC	P78527	#N/A	3.49452824440617e-12	2.88e-07	TRUE	14.5	6.84
403	RPS27A	RS27A_HUMAN	#N/A	1.12360797306096e-08	0.000605	TRUE	9.04	4.98
413	SEC61A1	P61619	#N/A	1.10363150018356e-08	0.000598	TRUE	8.96	4.62
423	SLC16A1	P53985	#N/A	1.78796807522055e-10	2.29e-05	TRUE	8.36	4.49
424	SLC1A5	Q15758	#N/A	1.10739538311648e-09	0.000104	TRUE	7.17	2.95
430	SLC2A1	P11166	#N/A	4.01137662067811e-12	3.38e-07	TRUE	8.07	4.07
441	SPANXB1	Q9NS25	#N/A	2.30229642585844e-17	7.52e-15	TRUE	13.3	8.61
442	SQSTM1	Q13501	#N/A	6.03276649723423e-07	0.00818	TRUE	6.69	3.15
463	TMPO.1	P42167	#N/A	1.30404314026777e-05	0.0387	TRUE	5.76	2.42
485	XPO1	O14980	#N/A	4.58204873062356e-07	0.00704	TRUE	7.94	2.59
