name	ID	cand1_vs_parental_p.val	cand1_vs_parental_p.adj	cand1_vs_parental_significant	cand1_vs_parental_ratio	cand1_centered
4	AP2A1	O95782-2	0.00161465748681715	0.0165	TRUE	2.25	1.79
10	CAPZA2	P47755	0.0023830818276991	0.0217	TRUE	2.16	1.72
14	CPSF1	Q10570	1.82795108786844e-05	0.000189	TRUE	3.94	4.34
16	CS	O75390	7.50494575480977e-05	0.000881	TRUE	1.71	1.49
18	DDX1	Q92499-3	0.00182514532913254	0.0178	TRUE	3.3	2.22
23	DMBT1	Q9UGM3-5	6.34276886317328e-10	2.25e-11	TRUE	7.93	6.79
25	EEF1A1	P68104	0.0014433733369282	0.0153	TRUE	3.91	0.613
27	EFCAB7	A8K855-2	3.90404764139093e-07	1.13e-06	TRUE	1.93	1.68
45	HNRNPH1	P31943	0.00287964041083417	0.0252	TRUE	2.82	3.2
53	HSPA1B	P0DMV9	0.00522935482941315	0.0396	TRUE	2.9	0.472
57	IGF2BP2	Q9Y6M1-1	0.00251128818324302	0.0226	TRUE	2.68	4.14
66	LYAR	Q9NX58	0.00553278123561007	0.0413	TRUE	2.26	1.81
72	MIOS	Q9NXC5	0.000379628000799061	0.0049	TRUE	2.59	2.67
73	MRPS14	O60783	0.000405680919955658	0.00523	TRUE	1.68	1.42
74	MRPS22	P82650	0.00518183866563484	0.0393	TRUE	1.66	1.87
75	MRPS23	Q9Y3D9	0.00207438784665465	0.0195	TRUE	2.71	2.83
76	MRPS28	Q9Y2Q9	0.00127682416704539	0.014	TRUE	3.6	2.86
78	MRPS35	P82673	5.82463307519126e-05	0.00069	TRUE	2.6	2.28
93	PDIA6	Q15084-3	0.00190621714480655	0.0183	TRUE	1.59	1.31
98	PL02424	PL02424	0.00623816885036056	0.0453	TRUE	3	2.43
105	PSMA6	P60900-2	1.59425239826165e-07	3.18e-07	TRUE	2.9	2.54
106	PSMA7	O14818	2.11522677021217e-12	9.14e-15	TRUE	4.6	4.02
107	PSMB3	P49720	2.67886512568801e-12	9.14e-15	TRUE	4.04	3.54
108	PSMB4	P28070	1.7817605530269e-07	3.6e-07	TRUE	2.91	2.55
109	PSMC3	P17980	1.56068251992751e-11	9.14e-15	TRUE	3.1	2.71
110	PSMC5	P62195-2	2.56462324971496e-35	9.14e-15	TRUE	4.77	4.17
111	PSMD11	O00231	0.00153988849778909	0.016	TRUE	2.54	2.03
112	PSME1	Q06323-3	6.18295028145171e-05	0.000732	TRUE	2.11	1.85
113	PSPC1	Q8WXF1-2	1.62150950785447e-07	3.25e-07	TRUE	3.02	2.64
116	PTRF	Q6NZI2-2	0.0013570537576063	0.0146	TRUE	2.03	1.3
135	RPS19	P39019	0.0014167262924431	0.0151	TRUE	3.08	2.79
136	RPS2	P15880	9.39831565782449e-12	9.14e-15	TRUE	6.61	5.38
139	RPS5	P46782	0.000111552241675762	0.00135	TRUE	3.05	1.61
144	SF3B3	Q15393	0.00427266541195562	0.034	TRUE	2.09	2.68
148	SNRNP40	Q96DI7	0.00433577248477693	0.0344	TRUE	2.92	3.54
152	SNRPD3	P62318-2	0.00122088216835502	0.0136	TRUE	3.11	2.52
163	TUBA1C	Q9BQE3	7.74854709228968e-06	6.53e-05	TRUE	1.61	1.03
164	TUBB4B	P68371	3.55802230423781e-06	2.59e-05	TRUE	2.4	0.996
165	TUFM	P49411	6.79268870508959e-08	1.01e-07	TRUE	2.82	2.39
167	UBA52	RS27A_HUMAN	0.000175641670235538	0.00219	TRUE	3.67	-2.81
