name	ID	cand2_vs_parental_p.val	cand2_vs_parental_p.adj	cand2_vs_parental_significant	cand2_vs_parental_ratio	cand2_centered
13	CFL1	P23528	0.00307984344710297	0.00551	TRUE	2.35	0.387
23	DMBT1	Q9UGM3-5	0.00280880564953964	0.00502	TRUE	3.15	2.02
52	HSP90AB1	P08238	0.00285038723288734	0.0051	TRUE	3.06	1.72
53	HSPA1B	P0DMV9	0.0155827095078038	0.0321	TRUE	2.48	0.0532
83	NAP1L1	P55209-3	0.00733700324990087	0.0148	TRUE	3.02	1.91
89	PAICS	P22234	4.66785537184531e-06	5.93e-07	TRUE	3.77	2.3
100	PRDX1	PRDX1_HUMAN	0.000462415809103414	0.000527	TRUE	1.79	0.118
104	PS02457	PS02457	1.79638964778112e-46	1.05e-14	TRUE	13.4	11.7
136	RPS2	P15880	5.16713333078567e-05	2.58e-05	TRUE	3.2	1.97
153	SPATA7	Q9P0W8-3	0.00300005234104204	0.00537	TRUE	5.8	2.34
164	TUBB4B	P68371	0.00151456934589756	0.00248	TRUE	1.52	0.122
167	UBA52	RS27A_HUMAN	8.93673307396755e-13	1.05e-14	TRUE	9	2.52
