name	ID	cand12_vs_parental_p.val	cand12_vs_parental_p.adj	cand12_vs_parental_significant	cand12_vs_parental_ratio	cand12_centered
2	ANKRD54	Q6NXT1	7.02682212792936e-05	0.0106	TRUE	2.29	2
8	ATXN2L	Q8WWM7-6	5.96826188827393e-05	0.00975	TRUE	2.45	2.14
23	DMBT1	Q9UGM3-5	4.21479564014104e-06	0.0014	TRUE	5.25	4.12
25	EEF1A1	P68104	2.01906027251472e-05	0.00499	TRUE	5.5	2.21
28	EIF2S1	P05198	0.000679756877694757	0.0475	TRUE	1.98	1.56
40	HLA-A	P30455	3.91865834980876e-12	1.46e-11	TRUE	4.32	3.78
52	HSP90AB1	P08238	6.56939384182175e-05	0.0102	TRUE	4.28	2.94
76	MRPS28	Q9Y2Q9	0.000497516895200876	0.0399	TRUE	3.93	3.19
81	MYH9	P35579	5.46511991573295e-05	0.00932	TRUE	6.47	3.75
97	PL02241	PL02241	1.4044544237924e-07	4.65e-05	TRUE	3.53	3.09
99	PLEC	Q15149-7	7.5030864788608e-05	0.0109	TRUE	2.29	2
116	PTRF	Q6NZI2-2	1.03396368053335e-07	3.55e-05	TRUE	3.79	3.06
138	RPS28	P62857	0.000195452256512078	0.0217	TRUE	3.33	1.42
139	RPS5	P46782	5.63064480591185e-15	2.93e-14	TRUE	8.52	7.07
163	TUBA1C	Q9BQE3	2.99635868982046e-06	0.00107	TRUE	1.7	1.12
164	TUBB4B	P68371	5.43490750941515e-06	0.00169	TRUE	2.34	0.938
167	UBA52	RS27A_HUMAN	2.6107415565692e-09	4.83e-07	TRUE	6.71	0.232
