name	ID	cand19_vs_parental_p.val	cand19_vs_parental_p.adj	cand19_vs_parental_significant	cand19_vs_parental_ratio	cand19_centered
6	ANXA2	P07355	2.30645229482053e-26	5.21e-15	TRUE	9.45	8.21
19	CDC20	Q12834	5.40268557107654e-42	5.21e-15	TRUE	4.47	3.91
20	CDKN2AIP	Q9NXV6	1.016854854173e-18	2.5e-06	TRUE	5.96	5.12
24	DAZAP1	Q96EP5-2	1.30463196490521e-35	5.21e-15	TRUE	4.52	3.96
37	EEF1G	P26641	1.03908970013688e-14	0.000824	TRUE	5.41	4.62
38	EEF2	P13639	7.67659216953362e-26	5.21e-15	TRUE	7.1	6.14
41	ENO1	P06733	4.51407266688506e-12	0.0101	TRUE	8.17	6.34
45	GAPDH	P04406-2	2.5573562882851e-12	0.00835	TRUE	6.87	5.46
70	LANCL2	Q9NS86	1.19343557911249e-34	5.21e-15	TRUE	6.64	5.81
86	PKM	P14618-2	4.39733091400831e-37	5.21e-15	TRUE	5.28	4.62
87	PRDX1	PRDX1_HUMAN	8.66322974945965e-26	9.55e-15	TRUE	9	7.95
88	PRDX6	P30041	8.30621503317149e-31	5.21e-15	TRUE	5.74	5.02
123	RCC2	Q9P258	6.7098203087366e-40	5.21e-15	TRUE	6.14	5.37
146	RPS28	P62857	9.07431120188619e-21	3.98e-08	TRUE	6.86	5.85
153	SF1	Q15637-4	4.75061183296326e-45	5.21e-15	TRUE	7.01	6.13
168	TPM3	P06753-4	5.34306667712309e-12	0.0106	TRUE	3.45	2.99
171	TSG101	Q99816	8.36089464216547e-14	0.00219	TRUE	8.22	7.17
177	UBA52	RS27A_HUMAN	3.40011006569269e-12	0.00919	TRUE	4.98	0.548
178	XPNPEP3	Q9NQH7-2	1.11650508019273e-33	5.21e-15	TRUE	9.03	7.85
180	XRN2	Q9H0D6	8.58095599961896e-11	0.0254	TRUE	9.13	7.39
