name	ID	cand19_without_overlap	cand19_vs_Ctrl_p.val	cand19_vs_Ctrl_p.adj	cand19_vs_Ctrl_significant	cand19_vs_Ctrl_ratio	cand19_centered
119	ACTG1	P63261	yes	9.03083688929848e-09	0.00213	TRUE	2.02	1.31
120	ANXA2	P07355	yes	3.53855895870323e-06	0.0339	TRUE	3.62	3.03
121	C11orf84	Q9BUA3	yes	4.23108977594404e-10	0.00033	TRUE	8.55	6.73
122	C15orf52	Q6ZUT6-4	yes	1.14976893884375e-06	0.0216	TRUE	7.1	5.7
123	CACYBP	Q9HB71	yes	2.51136417863184e-08	0.00371	TRUE	8.29	6.3
124	CDC20	Q12834	yes	9.48548145512437e-19	6.6e-15	TRUE	10.6	8.71
125	CNN3	Q15417	yes	8.48238426782065e-34	6.6e-15	TRUE	10.2	8.48
126	DNAJC10	Q8IXB1	yes	3.38389753731202e-06	0.0334	TRUE	8.18	5.67
127	EEF1A1	P68104	yes	1.20746643233909e-07	0.00776	TRUE	2.69	1.29
128	EEF2	P13639	yes	7.69503702702928e-10	0.000485	TRUE	11.3	7
129	EIF5A	P63241	yes	3.58323918858008e-14	2.68e-08	TRUE	9.66	7.74
130	FOSL1	P15407	yes	1.97037070907681e-34	6.6e-15	TRUE	7.88	6.57
131	GMPS	P49915	yes	2.19569429522478e-12	3.61e-06	TRUE	8.99	7.12
132	GSPT1	P15170-2	yes	3.34269969159907e-12	5.55e-06	TRUE	7.7	6.1
133	HDGF	P51858	yes	1.08633000476952e-10	0.000124	TRUE	8.39	6.59
134	HNRNPH1	P31943	yes	8.04184279183925e-09	0.00201	TRUE	2.39	1.97
135	IDH3B	O43837	yes	2.02330783076175e-10	0.000195	TRUE	7.5	5.72
136	IPO5	O00410	yes	2.1374869902956e-09	0.000906	TRUE	6.4	4.3
137	KRT18	P05783	yes	4.72400657095571e-06	0.0377	TRUE	7.64	3.47
138	LANCL2	Q9NS86	yes	3.00252163013483e-22	6.6e-15	TRUE	11.1	9.1
139	MAPK1	P28482	yes	7.01337697082457e-10	0.000459	TRUE	9.05	6.76
140	MTHFD1	P11586	yes	4.58119583892558e-10	0.000348	TRUE	11.1	6.97
141	NME1	P15531	yes	2.58788148224192e-30	6.6e-15	TRUE	8.03	6.69
142	NME2	P22392-2	yes	8.85351180143557e-11	0.000106	TRUE	11.7	8.64
143	NOSIP	Q9Y314	yes	1.0399101881251e-28	6.6e-15	TRUE	7.96	6.63
144	NUDC	Q9Y266	yes	3.6655528566943e-11	5.21e-05	TRUE	10.2	8.22
145	PAICS	P22234	yes	7.04662447660267e-09	0.00186	TRUE	9.77	7.28
146	PALLD	Q8WX93-3	yes	3.39606421854247e-40	6.6e-15	TRUE	12.5	10.5
147	PDLIM4	P50479	yes	5.32392823824211e-33	6.6e-15	TRUE	8.38	6.98
148	PFN1	P07737	yes	3.07424708148532e-07	0.0121	TRUE	8.01	5.69
149	PFN2	P35080	yes	9.52992536575215e-19	6.6e-15	TRUE	9.44	7.72
150	PPIA	PPIA_HUMAN	yes	1.40702891995709e-07	0.00831	TRUE	7.63	4.62
151	PRDX6	P30041	yes	7.52502752481079e-18	6.6e-15	TRUE	12.1	9.44
152	PRRC2A	P48634	yes	1.44953077739631e-16	3.24e-12	TRUE	10.2	8.23
153	RAB5C	P51148	yes	5.06257738326148e-06	0.0387	TRUE	4.54	2.69
154	RCC2	Q9P258	yes	1.95991212845779e-17	5.66e-14	TRUE	11.1	8.99
155	RPIA	P49247	yes	1.01639585600566e-28	6.6e-15	TRUE	7.68	6.4
156	SF1	Q15637-6	yes	6.17669932228251e-07	0.0164	TRUE	8.64	5.99
157	SH3KBP1	Q96B97-3	yes	3.52202767969674e-07	0.0129	TRUE	5.63	5.9
158	SPIN1	Q9Y657	yes	4.42535955397954e-06	0.0369	TRUE	6.7	6.6
159	TGM2	P21980	yes	4.01913124802467e-17	2.57e-13	TRUE	10.5	8.54
160	TK1	P04183	yes	6.66904445919174e-13	1.04e-06	TRUE	8.99	7.18
161	TPX2	Q9ULW0	yes	2.93603178192596e-21	6.6e-15	TRUE	9.21	7.67
162	TXLNA	P40222	yes	3.81026683832027e-30	6.6e-15	TRUE	7.4	6.17
163	UBAP2	Q5T6F2	yes	5.46431750413236e-26	6.6e-15	TRUE	9.11	7.59
164	UBXN1	Q04323	yes	2.84892418268266e-09	0.00109	TRUE	8.05	6.07
165	VAPA	Q9P0L0	yes	7.51377919887705e-27	6.6e-15	TRUE	7.33	5.03
166	XRN2	Q9H0D6	yes	1.74211105501918e-08	0.00307	TRUE	8.09	5.93
167	YWHAQ	P27348	yes	1.8119539388731e-06	0.0261	TRUE	7.02	3.83
174	ADRM1	Q16186	#N/A	1.669696785849e-09	0.000769	TRUE	8.64	3.7
193	BAG3	O95817	#N/A	3.60088301200791e-10	0.000296	TRUE	8.75	5.17
202	CAPZB	P47756-2	#N/A	6.54810177119002e-08	0.00582	TRUE	8.71	5.39
207	CDKN2AIP	Q9NXV6	#N/A	3.19386116111081e-14	2.31e-08	TRUE	13.7	7.42
218	CTPS1	P17812	#N/A	1.15546757437618e-07	0.00761	TRUE	9.21	4.63
233	DPYSL3	Q14195-2	#N/A	1.42881908761045e-12	2.36e-06	TRUE	12.4	7.78
296	HSPH1	Q92598	#N/A	3.77200702173514e-08	0.00453	TRUE	9.11	4.92
309	MAGEA4	P43358	#N/A	6.15601022139936e-10	0.000423	TRUE	9.37	4.24
314	MICAL1	Q8TDZ2	#N/A	1.1968599228269e-10	0.000133	TRUE	11.4	5.27
354	PRDX1	PRDX1_HUMAN	#N/A	4.73615246267623e-14	3.84e-08	TRUE	16.3	7.54
484	XPNPEP3	Q9NQH7-4	#N/A	4.43816675194786e-40	6.6e-15	TRUE	13.6	9.33
