name	ID	cand2_vs_parental_p.val	cand2_vs_parental_p.adj	cand2_vs_parental_significant	cand2_vs_parental_ratio	cand2_centered
4	AMD1	P17707-2	5.19315994388056e-05	4.19e-05	TRUE	3.17	2.78
18	CCT6A	P40227-2	0.00654862110342859	0.0143	TRUE	2.21	1.57
21	CFL1	P23528	0.0181192191361934	0.0406	TRUE	2.87	1.29
35	DS2_GFP	DS2_GFP	4.39236159491896e-12	5.9e-15	TRUE	10.9	9.56
41	ENO1	P06733	0.00433985356363265	0.00924	TRUE	2.57	0.739
45	GAPDH	P04406-2	2.1112703335973e-07	4.65e-09	TRUE	4.36	2.95
58	HSP90AB1	P08238	0.00361892295383324	0.00766	TRUE	3.06	1.52
76	NAP1L1	P55209-3	0.0193031247674402	0.0436	TRUE	2.04	1.95
80	OVAL_CHICK	OVAL_CHICK	0.00124117845085855	0.00231	TRUE	3.2	2.47
83	PAICS	P22234	0.0136654631555206	0.0307	TRUE	2.1	1.76
85	PIP	P12273	0.000655677525053953	0.00107	TRUE	1.86	1.87
144	RPS2	P15880	0.00608330300310652	0.0132	TRUE	2.88	1.65
161	SQSTM1	Q13501	8.52582460679849e-05	7.83e-05	TRUE	2.76	1.32
169	TRAK1	Q9UPV9-3	1.14486897956188e-12	5.9e-15	TRUE	7.42	6.49
172	TTN	Q8WZ42-5	0.0154701021364905	0.0346	TRUE	2.94	1.98
177	UBA52	RS27A_HUMAN	3.15823287665522e-18	5.9e-15	TRUE	7.67	3.24
