name	ID	cand11_vs_parental_p.val	cand11_vs_parental_p.adj	cand11_vs_parental_significant	cand11_vs_parental_ratio	cand11_centered
6	ATAD3A	Q9NVI7-2	2.39152272677465e-24	4.28e-15	TRUE	10.4	8.94
7	ATAD3B	Q5T9A4	5.14214446209116e-05	0.00219	TRUE	3.17	2.77
25	EEF1A1	P68104	0.00132232527858412	0.0271	TRUE	3.94	0.648
51	HSD17B11	Q8NBQ5	1.43238121168445e-07	7.4e-06	TRUE	3.77	3.3
55	HSPD1	P10809	2.58334686096623e-07	1.33e-05	TRUE	5.71	5.26
68	MAT2A	P31153-2	0.00349397828447956	0.049	TRUE	2.2	1.62
70	MICAL1	Q8TDZ2	3.36720439263151e-06	0.000204	TRUE	3.62	0.745
79	MYH10	P35580	0.00187014333846668	0.0335	TRUE	2.69	2.05
80	MYH14	Q7Z406-5	0.000419071470531552	0.0121	TRUE	3.39	2.85
81	MYH9	P35579	4.9071142431601e-07	2.7e-05	TRUE	8.55	5.83
82	MYL12A	P19105	0.00075499302632446	0.0186	TRUE	4.85	3.39
94	PHB	P35232	8.73272972489571e-49	4.28e-15	TRUE	11.8	10.3
95	PHB2	Q99623	4.93309026456853e-51	4.28e-15	TRUE	12.5	10.9
98	PL02424	PL02424	0.00290768157417023	0.0438	TRUE	3.29	2.73
103	PS01753	PS01753	9.46530926363029e-13	4.71e-14	TRUE	7.57	6.63
142	SERPINB6	P35237	3.39796224602164e-43	4.28e-15	TRUE	7.14	6.25
147	SLC25A5	P05141	8.04069252519753e-06	0.000437	TRUE	5.72	3.64
162	TSHZ1	Q6ZSZ6-2	1.55366866114078e-12	1.23e-13	TRUE	7.36	6.44
167	UBA52	RS27A_HUMAN	4.63194022812075e-15	4.28e-15	TRUE	10.7	4.17
